sample_id,problem_id,difficulty,final_correct,process_correct,process_status,failure_owner,failure_owner_status,localization_status,assessment_note,unsupported_correct,first_error_step,error_types,run_error,status,attempts
hy3-mbpp_Mbpp/8,mbpp_Mbpp/8,easy,True,True,valid,,provisional,not_applicable,已完成覆盖全部步骤的语义审查；测试通过不等于完整正确性证明。,False,,,,completed,1
hy3-mbpp_Mbpp/9,mbpp_Mbpp/9,hard,True,True,valid,,provisional,not_applicable,已完成覆盖全部步骤的语义审查；测试通过不等于完整正确性证明。,False,,,,completed,13
hy3-mbpp_Mbpp/11,mbpp_Mbpp/11,hard,True,True,valid,,provisional,not_applicable,已完成覆盖全部步骤的语义审查；测试通过不等于完整正确性证明。,False,,,,completed,2
hy3-mbpp_Mbpp/12,mbpp_Mbpp/12,medium,True,True,valid,,provisional,not_applicable,已完成覆盖全部步骤的语义审查；测试通过不等于完整正确性证明。,False,,,,completed,2
hy3-mbpp_Mbpp/14,mbpp_Mbpp/14,medium,True,,uncertain,,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,completed,1
hy3-mbpp_Mbpp/17,mbpp_Mbpp/17,easy,True,True,valid,,provisional,not_applicable,已完成覆盖全部步骤的语义审查；测试通过不等于完整正确性证明。,False,,,,completed,4
hy3-mbpp_Mbpp/18,mbpp_Mbpp/18,medium,True,True,valid,,provisional,not_applicable,已完成覆盖全部步骤的语义审查；测试通过不等于完整正确性证明。,False,,,,completed,1
hy3-mbpp_Mbpp/19,mbpp_Mbpp/19,medium,True,True,valid,,provisional,not_applicable,已完成覆盖全部步骤的语义审查；测试通过不等于完整正确性证明。,False,,,,completed,1
hy3-mbpp_Mbpp/56,mbpp_Mbpp/56,medium,True,,uncertain,,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,completed,1
hy3-mbpp_Mbpp/57,mbpp_Mbpp/57,medium,True,True,valid,,provisional,not_applicable,已完成覆盖全部步骤的语义审查；测试通过不等于完整正确性证明。,False,,,,completed,1
