sample_id,problem_id,difficulty,final_correct,process_correct,process_status,failure_owner,failure_owner_status,localization_status,assessment_note,unsupported_correct,first_error_step,error_types,run_error,status,attempts
two_sum_exists-01-gold,two_sum_exists,easy,True,True,valid,,provisional,not_applicable,已完成覆盖全部步骤的语义审查；测试通过不等于完整正确性证明。,False,,,,,
two_sum_exists-04-wrong,two_sum_exists,easy,False,False,invalid,model,provisional,localized,当前最早定位的错误证据出现在步骤 2。,False,2,algorithm_error,,,
bracket_balance-01-gold,bracket_balance,easy,True,True,valid,,provisional,not_applicable,已完成覆盖全部步骤的语义审查；测试通过不等于完整正确性证明。,False,,,,,
bracket_balance-04-wrong,bracket_balance,easy,False,False,invalid,model,provisional,localized,当前最早定位的错误证据出现在步骤 2。,False,2,algorithm_error,,,
max_subarray-01-gold,max_subarray,medium,True,True,valid,,provisional,not_applicable,已完成覆盖全部步骤的语义审查；测试通过不等于完整正确性证明。,False,,,,,
max_subarray-03-unsupported_correct,max_subarray,medium,True,False,invalid,model,provisional,localized,当前最早定位的错误证据出现在步骤 1。,True,1,condition_omission,,,
max_subarray-04-wrong,max_subarray,medium,False,False,invalid,model,provisional,localized,当前最早定位的错误证据出现在步骤 1。,False,1,condition_omission,,,
grid_shortest_path-01-gold,grid_shortest_path,medium,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
grid_shortest_path-03-unsupported_correct,grid_shortest_path,medium,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
grid_shortest_path-04-wrong,grid_shortest_path,medium,False,False,invalid,model,provisional,localized,当前最早定位的错误证据出现在步骤 6。,False,6,implementation_error,,,
coin_change-01-gold,coin_change,hard,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
coin_change-02-unsupported_correct,coin_change,hard,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
coin_change-03-wrong,coin_change,hard,False,False,invalid,model,provisional,localized,当前最早定位的错误证据出现在步骤 6。,False,6,implementation_error,,,
lis_length-01-gold,lis_length,hard,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
lis_length-02-unsupported_correct,lis_length,hard,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
lis_length-03-wrong,lis_length,hard,False,False,invalid,model,provisional,localized,当前最早定位的错误证据出现在步骤 6。,False,6,implementation_error,,,
two_sum_exists-keyword-only,two_sum_exists,easy,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
two_sum_exists-negated-fault,two_sum_exists,easy,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
bracket_balance-keyword-only,bracket_balance,easy,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
bracket_balance-negated-fault,bracket_balance,easy,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
max_subarray-keyword-only,max_subarray,medium,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
max_subarray-negated-fault,max_subarray,medium,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
grid_shortest_path-keyword-only,grid_shortest_path,medium,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
